"campaign_name","day_of_week","hour_of_day","attempts","answered","connect_rate"
"NMS Waiver","0","9","1","0","0.00"
"NMS Waiver","0","19","1","0","0.00"
"NMS Waiver","1","7","13","5","38.46"
"NMS Waiver","1","8","26603","3013","11.33"
"NMS Waiver","1","9","36454","3407","9.35"
"NMS Waiver","1","10","29431","2825","9.60"
"NMS Waiver","1","11","43495","4236","9.74"
"NMS Waiver","1","12","46295","4304","9.30"
"NMS Waiver","1","13","17436","1906","10.93"
"NMS Waiver","1","14","22573","3337","14.78"
"NMS Waiver","1","15","35972","3790","10.54"
"NMS Waiver","1","16","37786","3581","9.48"
"NMS Waiver","1","17","22060","1781","8.07"
"NMS Waiver","1","18","2780","360","12.95"
"NMS Waiver","1","19","1","0","0.00"
"NMS Waiver","2","7","483","72","14.91"
"NMS Waiver","2","8","35536","3191","8.98"
"NMS Waiver","2","9","47475","3928","8.27"
"NMS Waiver","2","10","45109","4053","8.98"
"NMS Waiver","2","11","50463","3660","7.25"
"NMS Waiver","2","12","47209","3508","7.43"
"NMS Waiver","2","13","16265","1537","9.45"
"NMS Waiver","2","14","41472","4944","11.92"
"NMS Waiver","2","15","37711","4939","13.10"
"NMS Waiver","2","16","47284","4352","9.20"
"NMS Waiver","2","17","29943","2483","8.29"
"NMS Waiver","2","18","3405","528","15.51"
"NMS Waiver","2","19","9","0","0.00"
"NMS Waiver","3","7","5468","884","16.17"
"NMS Waiver","3","8","30066","3612","12.01"
"NMS Waiver","3","9","33194","3235","9.75"
"NMS Waiver","3","10","29626","2896","9.78"
"NMS Waiver","3","11","40461","2902","7.17"
"NMS Waiver","3","12","45160","3049","6.75"
"NMS Waiver","3","13","26714","2126","7.96"
"NMS Waiver","3","14","33257","2589","7.78"
"NMS Waiver","3","15","32474","2859","8.80"
"NMS Waiver","3","16","44842","3480","7.76"
"NMS Waiver","3","17","9560","1044","10.92"
"NMS Waiver","3","18","95","3","3.16"
"NMS Waiver","3","19","4","0","0.00"
"NMS Waiver","3","21","2","0","0.00"
"NMS Waiver","4","7","74","15","20.27"
"NMS Waiver","4","8","30332","3431","11.31"
"NMS Waiver","4","9","28314","2806","9.91"
"NMS Waiver","4","10","22840","2441","10.69"
"NMS Waiver","4","11","24285","3028","12.47"
"NMS Waiver","4","12","41143","3594","8.74"
"NMS Waiver","4","13","9130","847","9.28"
"NMS Waiver","4","14","36830","3658","9.93"
"NMS Waiver","4","15","35579","3402","9.56"
"NMS Waiver","4","16","28651","3175","11.08"
"NMS Waiver","4","17","12156","1297","10.67"
"NMS Waiver","4","18","85","0","0.00"
"NMS Waiver","5","7","80","18","22.50"
"NMS Waiver","5","8","14974","1816","12.13"
"NMS Waiver","5","9","21110","1623","7.69"
"NMS Waiver","5","10","17009","1195","7.03"
"NMS Waiver","5","11","19653","1481","7.54"
"NMS Waiver","5","12","14280","1097","7.68"
"NMS Waiver","5","13","910","176","19.34"
"NMS Waiver","5","14","20057","1357","6.77"
"NMS Waiver","5","15","20865","1106","5.30"
"NMS Waiver","5","16","21070","1419","6.73"
"NMS Waiver","5","17","68","5","7.35"
"NMS Waiver","5","18","40","0","0.00"
"NMS Waiver","6","7","5","0","0.00"
"NMS Waiver","6","8","10782","1280","11.87"
"NMS Waiver","6","9","20113","1597","7.94"
"NMS Waiver","6","10","18390","1727","9.39"
"NMS Waiver","6","11","26820","2241","8.36"
"NMS Waiver","6","12","25486","1835","7.20"
"NMS Waiver","6","13","697","72","10.33"
"NMS Waiver","6","15","1","0","0.00"
"NMS Waiver","6","18","2","0","0.00"
"NMS Waiver","6","19","1","0","0.00"
