"campaign_name","hour_of_day","attempts","sales","dmc","negative_outcomes","answered","sale_pct_of_connects","negative_pct_of_connects"
"NMS Waiver","8","148293","429","6519","3917","16343","2.62","23.97"
"NMS Waiver","9","186661","391","6057","3899","16596","2.36","23.49"
"NMS Waiver","10","162405","291","4858","4505","15137","1.92","29.76"
"NMS Waiver","11","205177","303","5703","4979","17548","1.73","28.37"
"NMS Waiver","12","219573","283","5703","4852","17387","1.63","27.91"
"NMS Waiver","13","71152","49","1376","3881","6664","0.74","58.24"
"NMS Waiver","14","154189","298","5505","4623","15885","1.88","29.10"
"NMS Waiver","15","162602","277","5272","4749","16096","1.72","29.50"
"NMS Waiver","16","179633","269","5236","4304","16007","1.68","26.89"
"NMS Waiver","17","73787","73","1754","2125","6610","1.10","32.15"
"NMS Waiver","18","6407","0","4","886","891","0.00","99.44"
