"campaign_name","hour_of_day","sale_type","sale_type_name","sales"
"NMS Waiver","8","SALEWAI","SALE_WAIVER","363"
"NMS Waiver","8","SALEONE ","Sale 1 Premium ","28"
"NMS Waiver","8","SALELOI","SALE_LOI","20"
"NMS Waiver","8","SALEF","SALE_FUNERAL ","15"
"NMS Waiver","8","SALETWO","Sale 2 Premium ","3"
"NMS Waiver","9","SALEWAI","SALE_WAIVER","319"
"NMS Waiver","9","SALEONE ","Sale 1 Premium ","31"
"NMS Waiver","9","SALELOI","SALE_LOI","25"
"NMS Waiver","9","SALEF","SALE_FUNERAL ","9"
"NMS Waiver","9","SALETHRE","Sale 3 Premium ","3"
"NMS Waiver","9","SALETWO","Sale 2 Premium ","3"
"NMS Waiver","9","RFF","Referral Sale Funeral","1"
"NMS Waiver","10","SALEWAI","SALE_WAIVER","241"
"NMS Waiver","10","SALEONE ","Sale 1 Premium ","24"
"NMS Waiver","10","SALELOI","SALE_LOI","18"
"NMS Waiver","10","SALEF","SALE_FUNERAL ","6"
"NMS Waiver","10","SALETWO","Sale 2 Premium ","2"
"NMS Waiver","11","SALEWAI","SALE_WAIVER","256"
"NMS Waiver","11","SALEONE ","Sale 1 Premium ","23"
"NMS Waiver","11","SALELOI","SALE_LOI","11"
"NMS Waiver","11","SALEF","SALE_FUNERAL ","11"
"NMS Waiver","11","SALETWO","Sale 2 Premium ","2"
"NMS Waiver","12","SALEWAI","SALE_WAIVER","233"
"NMS Waiver","12","SALEONE ","Sale 1 Premium ","26"
"NMS Waiver","12","SALELOI","SALE_LOI","11"
"NMS Waiver","12","SALEF","SALE_FUNERAL ","9"
"NMS Waiver","12","SALETWO","Sale 2 Premium ","2"
"NMS Waiver","12","SALEFOUR","Sale 4 + Premium","1"
"NMS Waiver","12","RFD","Referral Sale Device","1"
"NMS Waiver","13","SALEWAI","SALE_WAIVER","41"
"NMS Waiver","13","SALEF","SALE_FUNERAL ","4"
"NMS Waiver","13","SALELOI","SALE_LOI","2"
"NMS Waiver","13","SALEONE ","Sale 1 Premium ","2"
"NMS Waiver","14","SALEWAI","SALE_WAIVER","256"
"NMS Waiver","14","SALEONE ","Sale 1 Premium ","20"
"NMS Waiver","14","SALELOI","SALE_LOI","11"
"NMS Waiver","14","SALEF","SALE_FUNERAL ","8"
"NMS Waiver","14","SALETWO","Sale 2 Premium ","3"
"NMS Waiver","15","SALEWAI","SALE_WAIVER","231"
"NMS Waiver","15","SALEONE ","Sale 1 Premium ","25"
"NMS Waiver","15","SALELOI","SALE_LOI","13"
"NMS Waiver","15","SALEF","SALE_FUNERAL ","5"
"NMS Waiver","15","SALETWO","Sale 2 Premium ","2"
"NMS Waiver","15","SALETHRE","Sale 3 Premium ","1"
"NMS Waiver","16","SALEWAI","SALE_WAIVER","237"
"NMS Waiver","16","SALEONE ","Sale 1 Premium ","15"
"NMS Waiver","16","SALELOI","SALE_LOI","11"
"NMS Waiver","16","SALEF","SALE_FUNERAL ","6"
"NMS Waiver","17","SALEWAI","SALE_WAIVER","57"
"NMS Waiver","17","SALELOI","SALE_LOI","7"
"NMS Waiver","17","SALEONE ","Sale 1 Premium ","6"
"NMS Waiver","17","SALEF","SALE_FUNERAL ","1"
"NMS Waiver","17","SALETWO","Sale 2 Premium ","1"
"NMS Waiver","17","RFF","Referral Sale Funeral","1"
